geodatabase,layer,status,error,crs,epsg,geometry_types,bbox,obb_bbox,feature_count,has_geometry,field_count,field_names,field_types,first_word,memory_mb,has_z
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,MaktalAli_Tracks_LINE,success,,EPSG:32636,32636,MultiLineString,"[np.float64(662013.2624000004), np.float64(3103065.9771999996), np.float64(664666.7247000001), np.float64(3104452.969799999)]","[(662026.8466162089, 3104528.2417962765), (664697.0460526313, 3104208.965284708), (664554.2512076157, 3103014.7317553815), (661884.0517711932, 3103334.0082669505), (662026.8466162089, 3104528.2417962765)]",1,TRUE,19,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, Shape_Length, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, Shape_Length:float64, geometry:geometry",MaktalAli_Tracks,0.001,TRUE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,Farsha_Tracks_LINE,success,,EPSG:32636,32636,MultiLineString,"[np.float64(698883.4540999997), np.float64(3104281.901900001), np.float64(701516.8919000002), np.float64(3106809.7529000007)]","[(699523.890531841, 3107080.2514574407), (701518.1509925475, 3104627.394376395), (700087.8967642048, 3103464.546578053), (698093.6363034983, 3105917.403659099), (699523.890531841, 3107080.2514574407)]",8,TRUE,21,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, layer, path, Shape_Length, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, layer:object, path:object, Shape_Length:float64, geometry:geometry",Farsha_Tracks,0.009,TRUE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,MainlandCoastalSurveyTracks_LINE,success,,EPSG:32636,32636,MultiLineString,"[np.float64(654374.4157999996), np.float64(3036735.175899999), np.float64(758895.1774000004), np.float64(3190932.7119999994)]","[(722727.1911026656, 3200640.4526061006), (758896.0502721292, 3036908.7520270175), (674380.0826582803, 3018238.9030230497), (638211.2234888166, 3181970.6036021328), (722727.1911026656, 3200640.4526061006)]",4670,TRUE,19,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, Shape_Length, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, Shape_Length:float64, geometry:geometry",MainlandCoastalSurveyTracks_LINE,3.474,TRUE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,Survey3_TracksBuffer_Polygon,success,,EPSG:32636,32636,MultiPolygon,"[np.float64(687145.2697000001), np.float64(3060310.8466999996), np.float64(725292.5274), np.float64(3106859.669399999)]","[(725207.341194375, 3060276.3113021664), (686631.2470929746, 3091238.075928645), (701437.4551897036, 3109685.5282583344), (740013.5492911038, 3078723.763631855), (725207.341194375, 3060276.3113021664)]",1,TRUE,22,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, layer, path, Shape_Length, Shape_Area, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, layer:object, path:object, Shape_Length:float64, Shape_Area:float64, geometry:geometry",Survey3_TracksBuffer,0.001,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,Yuba_TracksBuffer_Polygon,success,,EPSG:32636,32636,MultiPolygon,"[np.float64(709645.1979), np.float64(3073651.973200001), np.float64(711548.7806000002), np.float64(3075712.99)]","[(711358.3034090057, 3073555.071942249), (709595.023827558, 3075645.851976518), (710232.8610629134, 3076183.778183462), (711996.140644361, 3074092.998149193), (711358.3034090057, 3073555.071942249)]",1,TRUE,22,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, layer, path, Shape_Length, Shape_Area, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, layer:object, path:object, Shape_Length:float64, Shape_Area:float64, geometry:geometry",Yuba_TracksBuffer,0.001,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,Walih_TracksBuffer_Polygon,success,,EPSG:32636,32636,MultiPolygon,"[np.float64(713062.9153000005), np.float64(3075036.0527), np.float64(714987.3093999997), np.float64(3075782.8455)]","[(713099.3874708589, 3075819.622334078), (715000.7809842724, 3075494.277054822), (714893.0291720832, 3074864.5503919134), (712991.6356586698, 3075189.8956711693), (713099.3874708589, 3075819.622334078)]",1,TRUE,22,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, layer, path, Shape_Length, Shape_Area, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, layer:object, path:object, Shape_Length:float64, Shape_Area:float64, geometry:geometry",Walih_TracksBuffer,0.001,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,UmmShujayrat_TracksBuffer_Polygon,success,,EPSG:32636,32636,MultiPolygon,"[np.float64(703651.5037000002), np.float64(3105591.2832999993), np.float64(705590.2609999999), np.float64(3106537.6163)]","[(705257.790761579, 3105552.674567395), (703567.6029087272, 3106344.2413032143), (703927.006304757, 3107111.655125582), (705617.1941576087, 3106320.088389763), (705257.790761579, 3105552.674567395)]",1,TRUE,22,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, layer, path, Shape_Length, Shape_Area, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, layer:object, path:object, Shape_Length:float64, Shape_Area:float64, geometry:geometry",UmmShujayrat_TracksBuffer,0.001,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,Sila_TracksBuffer_Polygon,success,,EPSG:32636,32636,MultiPolygon,"[np.float64(723895.1869999999), np.float64(3060334.137), np.float64(725275.3250000002), np.float64(3062140.1350999996)]","[(723954.6189411286, 3062181.564091953), (725348.6455955405, 3060414.910177061), (725162.7018309797, 3060268.1861572433), (723768.6751765677, 3062034.8400721354), (723954.6189411286, 3062181.564091953)]",1,TRUE,22,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, layer, path, Shape_Length, Shape_Area, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, layer:object, path:object, Shape_Length:float64, Shape_Area:float64, geometry:geometry",Sila_TracksBuffer,0.001,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,Shusha_TracksBuffer_Polygon,success,,EPSG:32636,32636,MultiPolygon,"[np.float64(687145.2697000001), np.float64(3090798.8717), np.float64(688400.9755999995), np.float64(3091915.4110000003)]","[(687405.8932939266, 3091954.191473847), (688445.5262379312, 3091491.402183042), (687980.1708214291, 3090446.0045665614), (686940.5378774245, 3090908.7938573663), (687405.8932939266, 3091954.191473847)]",1,TRUE,22,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, layer, path, Shape_Length, Shape_Area, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, layer:object, path:object, Shape_Length:float64, Shape_Area:float64, geometry:geometry",Shusha_TracksBuffer,0.001,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,MaktalAli_TracksBuffer_Polygon,success,,EPSG:32636,32636,MultiPolygon,"[np.float64(662010.6354999999), np.float64(3103016.071799999), np.float64(664710.9824000001), np.float64(3104502.6099999994)]","[(662032.1415912223, 3104577.8123858506), (664746.8168226387, 3104252.573560347), (664592.2199369235, 3102962.1976771494), (661877.544705507, 3103287.436502653), (662032.1415912223, 3104577.8123858506)]",1,TRUE,20,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, Shape_Length, Shape_Area, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, Shape_Length:float64, Shape_Area:float64, geometry:geometry",MaktalAli_TracksBuffer,0.001,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Islands Flora And Fauna Baseline Studies\Survey 3\Spatial Data\IslandsFloraAndFauna_BaselineStudies_Survey3.gdb,Farsha_TracksBuffer_Polygon,success,,EPSG:32636,32636,MultiPolygon,"[np.float64(698873.3786000004), np.float64(3104235.6589), np.float64(701561.1113), np.float64(3106819.2222000007)]","[(699549.2522140772, 3107110.0783602684), (701571.1854449807, 3104612.025853592), (700089.375484695, 3103412.6432174873), (698067.4422537915, 3105910.6957241637), (699549.2522140772, 3107110.0783602684)]",1,TRUE,22,"MasterPlan, SurveyCode, SurveyName, SurveyType, name, cmt, desc, src, link1_href, link1_text, link1_type, link2_href, link2_text, link2_type, number, type, gpxx_Track, layer, path, Shape_Length, Shape_Area, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, name:object, cmt:object, desc:object, src:object, link1_href:object, link1_text:object, link1_type:object, link2_href:object, link2_text:object, link2_type:object, number:int32, type:object, gpxx_Track:object, layer:object, path:object, Shape_Length:float64, Shape_Area:float64, geometry:geometry",Farsha_TracksBuffer,0.001,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Keystone Bird Artificial nest (Sooty falcon & Osprey)\Spatial Data\Avifauna_Artificial_Nest_IR_Rev01_20231010.gdb,Target_Islands,success,,"COMPD_CS[""WGS 84 + EGM96 height"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]],VERT_CS[""EGM96 height"",VERT_DATUM[""EGM96 geoid"",2005,AUTHORITY[""EPSG"",""5171""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""5773""]]]",9707,MultiPolygon,"[np.float64(34.899033909000025), np.float64(27.64846936600003), np.float64(35.28319186900006), np.float64(27.938988830000028)]","[(35.28295509756107, 27.648216920794816), (34.89745754994083, 27.92917268486455), (34.92806599726742, 27.971170333212974), (35.31356354488766, 27.690214569143237), (35.28295509756107, 27.648216920794816)]",6,TRUE,23,"GlobalID, MasterPlan, SurveyCode, SurveyName, SurveyType, AreaName, Author, StartDate, EndDate, Source, Project_Re, BDC_Projec, Surveyor_N, CreationDate, Creator, EditDate, Editor, Shape_Length, Shape_Area, DocumentNumber, DocumentTitle, ReportDate, geometry","GlobalID:object, MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, AreaName:object, Author:object, StartDate:datetime64[ms, UTC], EndDate:datetime64[ms, UTC], Source:object, Project_Re:object, BDC_Projec:object, Surveyor_N:object, CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, Shape_Length:float64, Shape_Area:float64, DocumentNumber:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], geometry:geometry",Target_Islands,0.007,TRUE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Keystone Bird Artificial nest (Sooty falcon & Osprey)\Spatial Data\Avifauna_Artificial_Nest_IR_Rev01_20231010.gdb,Survey_Routes,success,,"COMPD_CS[""WGS 84 + EGM96 height"",GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST],AUTHORITY[""EPSG"",""4326""]],VERT_CS[""EGM96 height"",VERT_DATUM[""EGM96 geoid"",2005,AUTHORITY[""EPSG"",""5171""]],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Gravity-related height"",UP],AUTHORITY[""EPSG"",""5773""]]]",9707,MultiLineString,"[np.float64(34.90102021000007), np.float64(27.64850000000007), np.float64(35.28331900000006), np.float64(27.939012000000048)]","[(35.28282251705715, 27.648412832390953), (34.8981148243007, 27.931192601131354), (34.92992385548633, 27.97446719270044), (35.31463154824278, 27.69168742396004), (35.28282251705715, 27.648412832390953)]",26,TRUE,45,"GlobalID, MasterPlan, SurveyCode, SurveyName, SurveyType, AreaName, StartDate, EndDate, ObsDate, ObsMethod, SampleID, Evidence, ObsType, EnvType, Biotope, D_Dominant, A_Abundant, F_Frequent, O_Occasional, R_Rare, CoverPerc, Temp, WindDirect, WindSpeed, CloudCov, Rain, Photo, PhotoEx, Author, Comments, Source, Project_Re, BDC_Projec, Surveyor_N, Lat1, Long1, CreationDate, DocumentNumber, DocumentTitle, ReportDate, Creator, EditDate, Editor, Shape_Length, geometry","GlobalID:object, MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, AreaName:object, StartDate:datetime64[ms, UTC], EndDate:datetime64[ms, UTC], ObsDate:datetime64[ms, UTC], ObsMethod:object, SampleID:object, Evidence:object, ObsType:object, EnvType:object, Biotope:object, D_Dominant:object, A_Abundant:object, F_Frequent:object, O_Occasional:object, R_Rare:object, CoverPerc:object, Temp:float64, WindDirect:object, WindSpeed:object, CloudCov:object, Rain:object, Photo:object, PhotoEx:object, Author:object, Comments:object, Source:object, Project_Re:object, BDC_Projec:object, Surveyor_N:object, Lat1:float64, Long1:float64, CreationDate:datetime64[ms, UTC], DocumentNumber:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, Shape_Length:float64, geometry:geometry",Survey_Routes,0.043,TRUE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Keystone Bird Artificial nest (Sooty falcon & Osprey)\Spatial Data\Avifauna_Artificial_Nest_IR_Rev01_20231010.gdb,Sooty_Falcon_Osprey_Breeding_Status,success,,EPSG:4326,4326,Point,"[np.float64(34.902138000000036), np.float64(27.649150000000077), np.float64(35.282384000000036), np.float64(27.934375000000045)]","[(35.282384000000036, 27.649150000000077), (34.900575551092594, 27.930612077499294), (34.92850844507317, 27.968503558365832), (35.310316893980584, 27.687041480866572), (35.282384000000036, 27.649150000000077)]",62,TRUE,55,"globalid, MasterPlan, SurveyCode, SurveyName, SurveyType, AreaName, StartDate, EndDate, ObsMethod, VPLoc, SampleID, Evidence, Bearing, FaunaType, FamilyName, Genus, SpeciesName, ComName, SpeciesCod, Count_, HeightBand, TimeHeight, FlightDir, IUCN_GL, IUCN_Bbird, HCP_SC_04, HCP_SR_21, HCP_SR_20, GCC_Con, Bon_Con, Local_Stat, EnvType, Biotope, Temp, WindDirect, WindSpeed, CloudCov, Rain, Author, Comments, Source, Project_Re, BDC_Projec, Surveyor_N, Lat1, Long1, DocumentNumber, DocumentTitle, ReportDate, CreationDate, Creator, Editor, EditDate, ObsDate, geometry","globalid:object, MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, AreaName:object, StartDate:datetime64[ms, UTC], EndDate:datetime64[ms, UTC], ObsMethod:object, VPLoc:object, SampleID:object, Evidence:object, Bearing:object, FaunaType:object, FamilyName:object, Genus:object, SpeciesName:object, ComName:object, SpeciesCod:object, Count_:int32, HeightBand:object, TimeHeight:float64, FlightDir:object, IUCN_GL:object, IUCN_Bbird:object, HCP_SC_04:object, HCP_SR_21:object, HCP_SR_20:object, GCC_Con:object, Bon_Con:object, Local_Stat:object, EnvType:object, Biotope:object, Temp:float64, WindDirect:object, WindSpeed:object, CloudCov:object, Rain:object, Author:object, Comments:object, Source:object, Project_Re:object, BDC_Projec:object, Surveyor_N:object, Lat1:float64, Long1:float64, DocumentNumber:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], CreationDate:datetime64[ms, UTC], Creator:object, Editor:object, EditDate:datetime64[ms, UTC], ObsDate:datetime64[ms, UTC], geometry:geometry",Sooty_Falcon,0.146,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Keystone Bird Artificial nest (Sooty falcon & Osprey)\Spatial Data\Avifauna_Artificial_Nest_IR_Rev01_20231010.gdb,Landing_Points,success,,EPSG:4326,4326,Point,"[np.float64(34.90373963500008), np.float64(27.655410000000074), np.float64(35.27821000000006), np.float64(27.936533997000026)]","[(35.27821000000006, 27.655410000000074), (34.90373963500008, 27.936533997000026), (34.93012379711019, 27.97167893987588), (35.30459416211018, 27.690554942875927), (35.27821000000006, 27.655410000000074)]",6,TRUE,43,"globalid, MasterPlan, SurveyCode, SurveyName, SurveyType, AreaName, StartDate, EndDate, ObsDate, ObsMethod, SampleID, Evidence, ObsType, EnvType, Biotope, D_Dominant, A_Abundant, F_Frequent, O_Occasional, R_Rare, CoverPerc, Temp, WindDirect, WindSpeed, CloudCov, Rain, Photo, PhotoEx, Author, Comments, Source, Project_Re, BDC_Projec, Lat1, Long1, DocumentNumber, DocumentTitle, ReportDate, CreationDate, Creator, EditDate, Editor, geometry","globalid:object, MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, AreaName:object, StartDate:datetime64[ms], EndDate:datetime64[ms], ObsDate:datetime64[ms, UTC], ObsMethod:object, SampleID:object, Evidence:object, ObsType:object, EnvType:object, Biotope:object, D_Dominant:object, A_Abundant:object, F_Frequent:object, O_Occasional:object, R_Rare:object, CoverPerc:object, Temp:float64, WindDirect:object, WindSpeed:object, CloudCov:object, Rain:object, Photo:object, PhotoEx:object, Author:object, Comments:object, Source:object, Project_Re:object, BDC_Projec:object, Lat1:float64, Long1:float64, DocumentNumber:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, geometry:geometry",Landing_Points,0.01,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Keystone Bird Artificial nest (Sooty falcon & Osprey)\Spatial Data\Avifauna_Artificial_Nest_IR_Rev01_20231010.gdb,Artificial_Nesting_Points,success,,EPSG:4326,4326,Point,"[np.float64(34.694465068000056), np.float64(27.650337713000056), np.float64(35.28160698800008), np.float64(28.033167718000072)]","[(35.28160698800008, 27.650337713000056), (34.69423660821308, 28.026258268422737), (34.72266023174035, 28.070669765227866), (35.3100306115274, 27.694749209805252), (35.28160698800008, 27.650337713000056)]",20,TRUE,55,"globalid, MasterPlan, SurveyCode, SurveyName, SurveyType, AreaName, StartDate, EndDate, ObsDate, ObsMethod, VPLoc, SampleID, Evidence, Bearing, FaunaType, FamilyName, Genus, SpeciesName, ComName, SpeciesCod, Count_, HeightBand, TimeHeight, FlightDir, IUCN_GL, IUCN_Bbird, HCP_SC_04, HCP_SR_21, HCP_SR_20, GCC_Con, Bon_Con, Local_Stat, EnvType, Biotope, Temp, WindDirect, WindSpeed, CloudCov, Rain, Author, Comments, Source, Project_Re, BDC_Projec, Surveyor_N, Lat1, Long1, DocumentNumber, DocumentTitle, ReportDate, CreationDate, Creator, EditDate, Editor, geometry","globalid:object, MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyType:object, AreaName:object, StartDate:datetime64[ms, UTC], EndDate:datetime64[ms, UTC], ObsDate:datetime64[ms], ObsMethod:object, VPLoc:object, SampleID:object, Evidence:object, Bearing:object, FaunaType:object, FamilyName:object, Genus:object, SpeciesName:object, ComName:object, SpeciesCod:object, Count_:float64, HeightBand:object, TimeHeight:float64, FlightDir:object, IUCN_GL:object, IUCN_Bbird:object, HCP_SC_04:object, HCP_SR_21:object, HCP_SR_20:object, GCC_Con:object, Bon_Con:object, Local_Stat:object, EnvType:object, Biotope:object, Temp:float64, WindDirect:object, WindSpeed:object, CloudCov:object, Rain:object, Author:object, Comments:object, Source:object, Project_Re:object, BDC_Projec:object, Surveyor_N:object, Lat1:float64, Long1:float64, DocumentNumber:object, DocumentTitle:object, ReportDate:datetime64[ms, UTC], CreationDate:datetime64[ms, UTC], Creator:object, EditDate:datetime64[ms, UTC], Editor:object, geometry:geometry",Artificial_Nesting,0.039,FALSE
D:\NEOM_PROJECT\Marine Division\Long Term Monitoring Programs 2023 (Marine)\Marine Megafauna Aerial Survey\Spatial Data\Marine_Megafauna_Aerial_Survey.gdb,NEOM_M_FAUNA_Project_Megafauna_POINT,success,,EPSG:32636,32636,Point,"[np.float64(648425.8256000001), np.float64(3060548.973200001), np.float64(744247.4484000001), np.float64(3213342.0555000007)]","[(680018.3531999998, 3213342.0555000007), (744445.7657283166, 3063403.037470601), (677548.9056238983, 3034658.073869848), (613121.492919497, 3184597.0918640504), (680018.3531999998, 3213342.0555000007)]",310,TRUE,56,"MasterPlan, SurveyCode, SurveyName, SurveyTypeM, AreaName, StartDate, EndDate, ObsDate, ObsMethodM, SampleID, ScientificName, ScientificNameOther, ComName, Genus, FamilyName, IUCN_GL, HCP_SC_04, HabitatType, HabitatDesc, SightingNum, GroupSize, Adults, Juvenile, Calves, TravelDir, GroupSpeed, Interaction, Behaviour, Bearing, Distance, SampleDepth, WTemp, Turbidity, TideDir, CurrDir, CurrSpeed, Seastate, Glare, CloudCover, Author, Comments, Source, GlobalID, Project_Re, BDC_Projec, Surveyor_N, CreationDate, Creator, EditDate, Editor, MegafaunaType, FamilyName_1, Surveyor, Longitude, Latitude, geometry","MasterPlan:object, SurveyCode:object, SurveyName:object, SurveyTypeM:object, AreaName:object, StartDate:datetime64[ms, UTC], EndDate:datetime64[ms, UTC], ObsDate:datetime64[ms, UTC], ObsMethodM:object, SampleID:object, ScientificName:object, ScientificNameOther:object, ComName:object, Genus:object, FamilyName:object, IUCN_GL:object, HCP_SC_04:object, HabitatType:object, HabitatDesc:object, SightingNum:float64, GroupSize:float64, Adults:float64, Juvenile:float64, Calves:float64, TravelDir:object, GroupSpeed:object, Interaction:object, Behaviour:object, Bearing:float64, Distance:float32, SampleDepth:float32, WTemp:float32, Turbidity:object, TideDir:object, CurrDir:object, CurrSpeed:object, Seastate:object, Glare:object, CloudCover:object, Author:object, Comments:object, Source:object, GlobalID:object, Project_Re:object, BDC_Projec:object, Surveyor_N:object, CreationDate:datetime64[ms], Creator:object, EditDate:datetime64[ms], Editor:object, MegafaunaType:object, FamilyName_1:object, Surveyor:object, Longitude:float64, Latitude:float64, geometry:geometry",NEOM_M,0.534,FALSE
