file_path,file_name,file_type,status,error,marine_mammals,sharks_rays,reptiles,fish,birds,invertebrates_habitat,survey_types,places,data_types,conservation
E:\Marine New Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Acoustics.shp,._Acoustics.shp,shapefile,error,"ERROR: 'E:\Marine New Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Acoustics.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,
"E:\Marine New Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\Strata, transects and waypoints.xlsx","Strata, transects and waypoints.xlsx",excel,error,ERROR: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.,,,,,,,,,,
"E:\Marine New Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._Strata, transects and waypoints.xlsx","._Strata, transects and waypoints.xlsx",excel,error,"ERROR: Excel file format cannot be determined, you must specify an engine manually.",,,,,,,,,,
E:\Marine New Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\NEOM_Effort and Sightings_Moth.xlsx,NEOM_Effort and Sightings_Moth.xlsx,excel,error,ERROR: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.,,,,,,,,,,
E:\Marine New Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._NEOM_Effort and Sightings_Moth.xlsx,._NEOM_Effort and Sightings_Moth.xlsx,excel,error,"ERROR: Excel file format cannot be determined, you must specify an engine manually.",,,,,,,,,,
E:\Marine New Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\2022-01_All_Sightings.shp,2022-01_All_Sightings.shp,shapefile,success,,"bottlenose, cetacean, dolphin, false killer, humpback, indo-pacific, pantropical, spinner, whale",,,,,,"sighting, survey, transect","NEOM, reef",waypoint,
E:\Marine New Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._2022-01_All_Sightings.shp,._2022-01_All_Sightings.shp,shapefile,error,"ERROR: 'E:\Marine New Data\Cetacean Surveys\305. Raw Data\NEOM Cetacean Survey Results Shape FIles and Data\._2022-01_All_Sightings.shp' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'.",,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\05 PEP\Stage1_SF\Rev02\2023-11-09_KBD_NEOM_PLN_Keystone Bird Artificial Nest Trials 2023_Stage1_PEP_Rev02.pdf,2023-11-09_KBD_NEOM_PLN_Keystone Bird Artificial Nest Trials 2023_Stage1_PEP_Rev02.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\05 PEP\Stage1_SF\Rev02\._2023-11-09_KBD_NEOM_PLN_Keystone Bird Artificial Nest Trials 2023_Stage1_PEP_Rev02.pdf,._2023-11-09_KBD_NEOM_PLN_Keystone Bird Artificial Nest Trials 2023_Stage1_PEP_Rev02.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\05 PEP\Stage1_SF\Rev01\2023-10-23_KBD_NEOM_PLN_Keystone Bird Artificial Nest Trials 2023_Stage1_PEP_Rev01.pdf,2023-10-23_KBD_NEOM_PLN_Keystone Bird Artificial Nest Trials 2023_Stage1_PEP_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\05 PEP\Stage1_SF\Rev01\._2023-10-23_KBD_NEOM_PLN_Keystone Bird Artificial Nest Trials 2023_Stage1_PEP_Rev01.pdf,._2023-10-23_KBD_NEOM_PLN_Keystone Bird Artificial Nest Trials 2023_Stage1_PEP_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\01 Reports\03_Work progress\Keystone Bird Artificial Nest Trials _Work progress_ Report_Rev01.pdf,Keystone Bird Artificial Nest Trials _Work progress_ Report_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\01 Reports\03_Work progress\._Keystone Bird Artificial Nest Trials _Work progress_ Report_Rev01.pdf,._Keystone Bird Artificial Nest Trials _Work progress_ Report_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\01 Reports\01_Survey Report\2023-10-03_KBD_NEOM_TEPR_Keystone Species_Artificial Nest_Interim Report_Rev01.pdf,2023-10-03_KBD_NEOM_TEPR_Keystone Species_Artificial Nest_Interim Report_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\01 Reports\01_Survey Report\._2023-10-03_KBD_NEOM_TEPR_Keystone Species_Artificial Nest_Interim Report_Rev01.pdf,._2023-10-03_KBD_NEOM_TEPR_Keystone Species_Artificial Nest_Interim Report_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\01 Reports\01_Survey Report\Excel Database\SF Survey_5-12Aug_27082023.xlsx,SF Survey_5-12Aug_27082023.xlsx,excel,error,ERROR: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.,,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\01 Reports\01_Survey Report\Excel Database\._SF Survey_5-12Aug_27082023.xlsx,._SF Survey_5-12Aug_27082023.xlsx,excel,error,"ERROR: Excel file format cannot be determined, you must specify an engine manually.",,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\KBD_Data_Dictionary_Rev01.xlsx,KBD_Data_Dictionary_Rev01.xlsx,excel,error,ERROR: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.,,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\._KBD_Data_Dictionary_Rev01.xlsx,._KBD_Data_Dictionary_Rev01.xlsx,excel,error,"ERROR: Excel file format cannot be determined, you must specify an engine manually.",,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\Avifauna_Artificial_Nest_IR_Rev01\KBD_Data_Dictionary_Rev01.xlsx,KBD_Data_Dictionary_Rev01.xlsx,excel,error,ERROR: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.,,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\Avifauna_Artificial_Nest_IR_Rev01\._KBD_Data_Dictionary_Rev01.xlsx,._KBD_Data_Dictionary_Rev01.xlsx,excel,error,"ERROR: Excel file format cannot be determined, you must specify an engine manually.",,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\Avifauna_Artificial_Nest_IR_Rev01\Avifauna_Artificial_Nest_IR_Rev01_20231010.gdb,Avifauna_Artificial_Nest_IR_Rev01_20231010.gdb,geodatabase,success,,,,,,"falcon, osprey, sooty falcon",,"camera trap, nesting, survey, transect","NEOM, Sindalah, island","GPS, breeding, feeding, length",
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Waypoints_09-AUG-23.gpx,Waypoints_09-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Waypoints_09-AUG-23.gpx,._Waypoints_09-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Waypoints_10-AUG-23.gpx,Waypoints_10-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Waypoints_10-AUG-23.gpx,._Waypoints_10-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Track_2023-08-07 232131.gpx,Track_2023-08-07 232131.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Track_2023-08-07 232131.gpx,._Track_2023-08-07 232131.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Track_2023-08-14 085807.gpx,Track_2023-08-14 085807.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Track_2023-08-14 085807.gpx,._Track_2023-08-14 085807.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Waypoints_06-AUG-23.gpx,Waypoints_06-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Waypoints_06-AUG-23.gpx,._Waypoints_06-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Track_2023-08-10 141454.gpx,Track_2023-08-10 141454.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Track_2023-08-10 141454.gpx,._Track_2023-08-10 141454.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Waypoints_12-AUG-23.gpx,Waypoints_12-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Waypoints_12-AUG-23.gpx,._Waypoints_12-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Track_2023-08-07 053911.gpx,Track_2023-08-07 053911.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Track_2023-08-07 053911.gpx,._Track_2023-08-07 053911.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Track_2023-08-09 053248.gpx,Track_2023-08-09 053248.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Track_2023-08-09 053248.gpx,._Track_2023-08-09 053248.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Waypoints_08-AUG-23.gpx,Waypoints_08-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Waypoints_08-AUG-23.gpx,._Waypoints_08-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Track_2023-08-11 142200.gpx,Track_2023-08-11 142200.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Track_2023-08-11 142200.gpx,._Track_2023-08-11 142200.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Track_2023-08-07 232317.gpx,Track_2023-08-07 232317.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Track_2023-08-07 232317.gpx,._Track_2023-08-07 232317.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Track_2023-08-09 182529.gpx,Track_2023-08-09 182529.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Track_2023-08-09 182529.gpx,._Track_2023-08-09 182529.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\Waypoints_07-AUG-23.gpx,Waypoints_07-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\04 GIS data\01_Survey Report_2023-10-03\WA_GPS_Data\._Waypoints_07-AUG-23.gpx,._Waypoints_07-AUG-23.gpx,gpx,success,,,,,,"falcon, osprey, sooty falcon",,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\Osprey\01_PEP_ Summary_Al Farsha island.pdf,01_PEP_ Summary_Al Farsha island.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\Osprey\._01_PEP_ Summary_Al Farsha island.pdf,._01_PEP_ Summary_Al Farsha island.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\Osprey\00_PEP_Keystone Bird Artificial Nest Trials (Phase2).pdf,00_PEP_Keystone Bird Artificial Nest Trials (Phase2).pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Keystone Bird Artificial nest (Sooty falcon & Osprey)\OneDrive_1_5-11-2025 (1)\Osprey\._00_PEP_Keystone Bird Artificial Nest Trials (Phase2).pdf,._00_PEP_Keystone Bird Artificial Nest Trials (Phase2).pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Workshop\NEOM Marine Turtle Workshop - Flyer.pdf,NEOM Marine Turtle Workshop - Flyer.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Workshop\._NEOM Marine Turtle Workshop - Flyer.pdf,._NEOM Marine Turtle Workshop - Flyer.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Workshop\NEOM Marine Turtle Workshop Compressed (1).pdf,NEOM Marine Turtle Workshop Compressed (1).pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Workshop\._NEOM Marine Turtle Workshop Compressed (1).pdf,._NEOM Marine Turtle Workshop Compressed (1).pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Workshop\Workshop Agenda _ Experts list.pdf,Workshop Agenda _ Experts list.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Workshop\._Workshop Agenda _ Experts list.pdf,._Workshop Agenda _ Experts list.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Workshop\KBD_NEOM_Marine Turtles Workshop Report.pdf,KBD_NEOM_Marine Turtles Workshop Report.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Workshop\._KBD_NEOM_Marine Turtles Workshop Report.pdf,._KBD_NEOM_Marine Turtles Workshop Report.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Workshop\NEOM Marine Turtle Workshop Background.pdf,NEOM Marine Turtle Workshop Background.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Workshop\._NEOM Marine Turtle Workshop Background.pdf,._NEOM Marine Turtle Workshop Background.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Management Plan\NEOM_Marine Turtles Management Plan_Rev05.pdf,NEOM_Marine Turtles Management Plan_Rev05.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Management Plan\._NEOM_Marine Turtles Management Plan_Rev05.pdf,._NEOM_Marine Turtles Management Plan_Rev05.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Management Plan\Old Rev!\NEOM_Marine-Turtles Management Plan.pdf,NEOM_Marine-Turtles Management Plan.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Management Plan\Old Rev!\._NEOM_Marine-Turtles Management Plan.pdf,._NEOM_Marine-Turtles Management Plan.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Management Plan\Old Rev!\Rev04\2024-03-07_KBD_NEOM_TREP_MSRCAP_Marine-Turtles Action Plan_Rev04.pdf,2024-03-07_KBD_NEOM_TREP_MSRCAP_Marine-Turtles Action Plan_Rev04.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Species Management Plans project (Turtle)\Turtle\Turtle\Management Plan\Old Rev!\Rev04\._2024-03-07_KBD_NEOM_TREP_MSRCAP_Marine-Turtles Action Plan_Rev04.pdf,._2024-03-07_KBD_NEOM_TREP_MSRCAP_Marine-Turtles Action Plan_Rev04.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Marine Megafauna Aerial Survey\KBD_Marine_Megafauna_Template_03_06_2024_V1 2.xlsx,KBD_Marine_Megafauna_Template_03_06_2024_V1 2.xlsx,excel,error,ERROR: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.,,,,,,,,,,
E:\Marine New Data\Marine Megafauna Aerial Survey\._KBD_Marine_Megafauna_Template_03_06_2024_V1 2.xlsx,._KBD_Marine_Megafauna_Template_03_06_2024_V1 2.xlsx,excel,error,"ERROR: Excel file format cannot be determined, you must specify an engine manually.",,,,,,,,,,
E:\Marine New Data\Marine Megafauna Aerial Survey\69_3.xlsx,69_3.xlsx,excel,error,ERROR: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.,,,,,,,,,,
E:\Marine New Data\Marine Megafauna Aerial Survey\._69_3.xlsx,._69_3.xlsx,excel,error,"ERROR: Excel file format cannot be determined, you must specify an engine manually.",,,,,,,,,,
E:\Marine New Data\Marine Megafauna Aerial Survey\m17102_vessel_eventswp_combined_MASTER.xlsx,m17102_vessel_eventswp_combined_MASTER.xlsx,excel,error,ERROR: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl.,,,,,,,,,,
E:\Marine New Data\Marine Megafauna Aerial Survey\._m17102_vessel_eventswp_combined_MASTER.xlsx,._m17102_vessel_eventswp_combined_MASTER.xlsx,excel,error,"ERROR: Excel file format cannot be determined, you must specify an engine manually.",,,,,,,,,,
E:\Marine New Data\Marine Megafauna Aerial Survey\02_NEOM Schema Data\83474_20240823_Submission\NEOM_M_FAUNA_V_P_V1.gdb,NEOM_M_FAUNA_V_P_V1.gdb,geodatabase,success,,"dolphin, dugong","ray, shark",turtle,,,,"aerial, survey",NEOM,"count, habitat, latitude, longitude",
E:\Marine New Data\Marine Megafauna Aerial Survey\03_Final Report and Presentation\2024-08-19_KBD_NEOM_TREP_MMAS_Final Report_Rev02.pdf,2024-08-19_KBD_NEOM_TREP_MMAS_Final Report_Rev02.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Marine Megafauna Aerial Survey\03_Final Report and Presentation\._2024-08-19_KBD_NEOM_TREP_MMAS_Final Report_Rev02.pdf,._2024-08-19_KBD_NEOM_TREP_MMAS_Final Report_Rev02.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Marine Megafauna Aerial Survey\03_Final Report and Presentation\2024-07-22_KBD_NEOM_PPT_Marine Megafauna Aerial Survey_Final_Rev01.pdf,2024-07-22_KBD_NEOM_PPT_Marine Megafauna Aerial Survey_Final_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Marine Megafauna Aerial Survey\03_Final Report and Presentation\._2024-07-22_KBD_NEOM_PPT_Marine Megafauna Aerial Survey_Final_Rev01.pdf,._2024-07-22_KBD_NEOM_PPT_Marine Megafauna Aerial Survey_Final_Rev01.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Birds and Turtles Surveys AECOM\301. Reports\Phase 2 Surveys\60659798_Slide_deck_Survey_2_KeyAvianTurtleFindings_1.pdf,60659798_Slide_deck_Survey_2_KeyAvianTurtleFindings_1.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Birds and Turtles Surveys AECOM\301. Reports\Phase 2 Surveys\._60659798_Slide_deck_Survey_2_KeyAvianTurtleFindings_1.pdf,._60659798_Slide_deck_Survey_2_KeyAvianTurtleFindings_1.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Birds and Turtles Surveys AECOM\301. Reports\Final report 2021\RPT_DRAFT_60658701_NEOMBirdsTurtles_SummaryReport_2021-12-09_NEOM comments (1) (1) (1).pdf,RPT_DRAFT_60658701_NEOMBirdsTurtles_SummaryReport_2021-12-09_NEOM comments (1) (1) (1).pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Birds and Turtles Surveys AECOM\301. Reports\Final report 2021\._RPT_DRAFT_60658701_NEOMBirdsTurtles_SummaryReport_2021-12-09_NEOM comments (1) (1) (1).pdf,._RPT_DRAFT_60658701_NEOMBirdsTurtles_SummaryReport_2021-12-09_NEOM comments (1) (1) (1).pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Birds and Turtles Surveys AECOM\301. Reports\Final report 2021\Final_60658701_NEOMBirdsTurtles_2021-12-23.pdf,Final_60658701_NEOMBirdsTurtles_2021-12-23.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
E:\Marine New Data\Birds and Turtles Surveys AECOM\301. Reports\Final report 2021\._Final_60658701_NEOMBirdsTurtles_2021-12-23.pdf,._Final_60658701_NEOMBirdsTurtles_2021-12-23.pdf,pdf,error,ERROR: No module named 'PyPDF2',,,,,,,,,,
